Wort,Count,Lemma,Pos,Number,Case,Gender,VerbForm,Person,Mood,Tense,Degree,PronType,Foreign,Poss,Definite,Reflex
ersten,11,erster,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
meinem,11,mein,DET,Sing,Dat,Masc,,,,,,Prs,,Yes,,
haus,11,Haus,NOUN,Sing,Nom,Neut,,,,,,,,,,
eure,11,eure,NOUN,Plur,Acc,Masc,,,,,,,,,,
waffen,11,waffen,NOUN,Plur,Acc,Fem,,,,,,,,,,
colonel,11,Colonel,PROPN,Sing,Nom,,,,,,,,,,,
essen,11,essen,VERB,,,,Inf,,,,,,,,,
signal,11,signal,ADV,,,,,,,,Pos,,,,,
toby,11,Toby,NOUN,Sing,Nom,Masc,,,,,,,,,,
jimmy,11,Jimmy,PROPN,Sing,Nom,Masc,,,,,,,,,,
insel,11,Insel,NOUN,Sing,Nom,Fem,,,,,,,,,,
krieg,11,Krieg,NOUN,Sing,Nom,Masc,,,,,,,,,,
planeten,10,planeen,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
amerika,10,amerika,PROPN,Sing,Nom,Neut,,,,,,,,,,
geschehen,10,geschehen,VERB,,,,Inf,,,,,,,,,
sagtest,10,sagtest,ADV,,,,,,,,Pos,,,,,
irgendwo,10,irgendwo,ADV,,,,,,,,,,,,,
delaware,10,delawaren,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
holen,10,holen,VERB,,,,Inf,,,,,,,,,
darauf,10,darauf,ADV,,,,,,,,,,,,,
wohl,10,wohl,ADV,,,,,,,,,,,,,
sachen,10,Sache,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
jede,10,jeder,PRON,Sing,Nom,Fem,,,,,,Ind,,,,
zeug,10,zeug,NOUN,Sing,Nom,Neut,,,,,,,,,,
dinge,10,Ding,NOUN,Plur,Nom,Neut,,,,,,,,,,
jedes,10,jeder,PRON,Sing,Nom,Neut,,,,,,Ind,,,,
energie,10,Energie,NOUN,Sing,Nom,Fem,,,,,,,,,,
vergessen,10,vergessen,VERB,,,,Part,,,,,,,,,
versuchen,10,versuchen,VERB,,,,Inf,,,,,,,,,
weiter,10,weiter,ADV,,,,,,,,,,,,,
sehe,10,sehen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
tue,10,tun,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
dazu,10,dazu,ADV,,,,,,,,,,,,,
gefunden,10,finden,VERB,,,,Part,,,,,,,,,
nachricht,10,Nachricht,NOUN,Sing,Nom,Fem,,,,,,,,,,
ihrer,10,ihr,DET,Sing,Dat,Fem,,,,,,Prs,,Yes,,
ihrem,10,ihr,DET,Sing,Dat,Masc,,,,,,Prs,,Yes,,
plan,10,Plan,NOUN,Sing,Nom,Masc,,,,,,,,,,
stehen,10,stehen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
stark,10,stark,ADV,,,,,,,,Pos,,,,,
zusammen,10,zusammen,ADV,,,,,,,,,,,,,
wieso,10,wieso,ADV,,,,,,,,,Int,,,,
reden,10,reden,VERB,,,,Inf,,,,,,,,,
lebendig,10,lebendig,ADV,,,,,,,,Pos,,,,,
shuttle,10,shuttle,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
daddy,10,daddy,PROPN,Sing,Gen,,,,,,,,,,,
davon,9,davon,ADV,,,,,,,,,,,,,
nacht,9,Nacht,NOUN,Sing,Nom,Fem,,,,,,,,,,
sahen,9,sehen,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
ah,9,ah,X,,,,,,,,,,,,,
schaffen,9,schaffen,VERB,,,,Inf,,,,,,,,,
apollo,9,Apollo,PROPN,Sing,Nom,,,,,,,,,,,
freunde,9,Freund,NOUN,Plur,Nom,Masc,,,,,,,,,,
grund,9,Grund,NOUN,Sing,Nom,Masc,,,,,,,,,,
sag,9,sag,ADP,,,,,,,,,,,,,
name,9,Name,NOUN,Sing,Nom,Masc,,,,,,,,,,
tja,9,tja,PROPN,Sing,Nom,,,,,,,,,,,
wozu,9,wozu,ADV,,,,,,,,,Int,,,,
liebe,9,Liebe,NOUN,Sing,Nom,Fem,,,,,,,,,,
amelia,9,Amelia,PROPN,Sing,Nom,Neut,,,,,,,,,,
kleines,9,klein,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
jungs,9,jungs,DET,,,Neut,,,,,,Ind,,,,
dort,9,dort,ADV,,,,,,,,,,,,,
wovon,9,wovon,ADV,,,,,,,,,Int,,,,
hinter,9,hinter,ADP,,,,,,,,,,,,,
eigentlich,9,eigentlich,ADV,,,,,,,,,,,,,
hand,9,Hand,NOUN,Sing,Nom,Fem,,,,,,,,,,
wesen,9,wesen,VERB,,,,Inf,,,,,,,,,
solltet,9,sollten,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
bevor,9,bevor,SCONJ,,,,,,,,,,,,,
erst,9,erst,ADV,,,,,,,,,,,,,
nehmen,9,nehmen,VERB,,,,Inf,,,,,,,,,
wahr,9,wahr,ADV,,,,,,,,Pos,,,,,
atmen,9,atmen,VERB,,,,Inf,,,,,,,,,
nephew,9,nephew,PROPN,Sing,Nom,,,,,,,,,,,
dieb,9,deiben,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
festland,9,festlehen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
menschlich,9,menschlich,ADV,,,,,,,,Pos,,,,,
wisst,8,Wisst,ADV,,,,,,,,,,,,,
cool,8,Cool,PROPN,Sing,Nom,,,,,,,,,,,
hattest,8,hattesen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
jemals,8,jemals,ADV,,,,,,,,,,,,,
irgendetwas,8,irgendetwas,PRON,,,Neut,,,,,,Ind,,,,
ende,8,Ende,NOUN,Sing,Nom,Neut,,,,,,,,,,
sonst,8,sonst,ADV,,,,,,,,,,,,,
bringt,8,bringen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
dabei,8,dabei,ADV,,,,,,,,,,,,,
jahren,8,Jahr,NOUN,Plur,Dat,Neut,,,,,,,,,,
hause,8,Hause,NOUN,Sing,Nom,Neut,,,,,,,,,,
gehe,8,gehen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
deinen,8,deinen,AUX,,,,Inf,,,,,,,,,
steht,8,stehen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
jeden,8,jeder,DET,Sing,Acc,Masc,,,,,,Ind,,,,
erde,8,Erde,PROPN,Sing,Nom,Fem,,,,,,,,,,
raumfahrer,8,Raumfahrer,NOUN,Plur,Nom,Masc,,,,,,,,,,
jefferson,8,Jefferson,PROPN,Sing,Nom,Masc,,,,,,,,,,
darf,8,dürfen,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
erinnerst,8,erinnerst,ADV,,,,,,,,,,,,,
alleine,8,alleine,ADV,,,,,,,,,,,,,
telefon,8,Telefon,NOUN,Sing,Nom,Neut,,,,,,,,,,
halt,8,halt,ADV,,,,,,,,,,,,,
art,8,Art,NOUN,Sing,Nom,Fem,,,,,,,,,,
suchen,8,suchen,VERB,,,,Inf,,,,,,,,,
alien,8,Alien,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
warte,8,warten,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
verschlossen,8,verschlossen,VERB,,,,Part,,,,,,,,,
herum,8,herum,CCONJ,,,,,,,,,,,,,
beim,8,bei,ADP,Sing,Dat,Masc,,,,,,,,,,
freund,8,Freund,NOUN,Sing,Nom,Masc,,,,,,,,,,
sekunden,8,sekunden,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
deinem,8,dein,DET,Sing,Dat,Masc,,,,,,Prs,,Yes,,
sobald,8,sobald,SCONJ,,,,,,,,,,,,,
gleich,8,gleich,ADV,,,,,,,,,,,,,
sieht,8,sehen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
bereit,8,bereit,ADV,,,,,,,,Pos,,,,,
ganzen,8,ganzen,VERB,,,,Inf,,,,,,,,,
kinder,8,Kind,NOUN,Plur,Nom,Neut,,,,,,,,,,
waffe,8,Waffe,NOUN,Sing,Nom,Fem,,,,,,,,,,
machst,8,machen,VERB,Sing,,,Fin,2,Ind,Pres,,,,,,
deiner,8,dein,DET,Sing,Dat,Fem,,,,,,Prs,,Yes,,
riss,8,Riss,PROPN,Sing,Nom,Fem,,,,,,,,,,
kleinen,8,klein,ADJ,Plur,Nom,,,,,,Pos,,,,,
matrix,8,matrix,X,,,,,,,,,,,,,
petrichor,8,Petrichor,NOUN,Sing,Nom,Neut,,,,,,,,,,
glauben,8,glauben,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
nennen,8,nennen,VERB,,,,Inf,,,,,,,,,
altes,8,alt,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
run,8,Run,PROPN,Sing,Nom,,,,,,,,,,,
tochter,8,Tochter,NOUN,Sing,Nom,Fem,,,,,,,,,,
liegt,7,liegen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
meinst,7,meinst,ADV,,,,,,,,Pos,,,,,
wem,7,wem,PRON,Sing,Dat,Masc,,,,,,Int,,,,
eins,7,einer,NUM,,,,,,,,,,,,,
the,7,--,X,,,,,,,,,,Yes,,,
treffen,7,treffen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
resynchronisation,7,Resynchronisation,NOUN,Sing,Nom,Fem,,,,,,,,,,
www,7,www,PROPN,Sing,Nom,,,,,,,,,,,
subcentral,7,subcentral,ADV,,,,,,,,Pos,,,,,
de,7,de,PROPN,,,,,,,,,,,,,
paar,7,paar,PRON,,,,,,,,,Ind,,,,
jemanden,7,jemand,PRON,Sing,Acc,Masc,,,,,,Ind,,,,
dahin,7,dahin,ADV,,,,,,,,,,,,,
see,7,see,PROPN,Sing,Nom,Fem,,,,,,,,,,
einige,7,einige,PRON,Plur,Nom,,,,,,,Ind,,,,
wach,7,Wach,ADV,,,,,,,,Pos,,,,,
lasst,7,lasst,ADV,,,,,,,,Pos,,,,,
wiedersehen,7,wiedersehen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
still,7,still,ADV,,,,,,,,,,,,,
guter,7,gut,ADJ,Sing,Nom,Masc,,,,,Pos,,,,,
seiner,7,sein,DET,Sing,Dat,Fem,,,,,,Prs,,Yes,,
zuerst,7,zuerst,ADV,,,,,,,,,,,,,
sache,7,Sache,NOUN,Sing,Nom,Fem,,,,,,,,,,
letzten,7,letzter,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
interessant,7,interessant,ADV,,,,,,,,Pos,,,,,
schlecht,7,schlecht,ADV,,,,,,,,Pos,,,,,
ma,7,ma,PROPN,Sing,Nom,,,,,,,,,,,
bringen,7,bringen,VERB,,,,Inf,,,,,,,,,
stimmt,7,stimmen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
inneren,7,innerer,VERB,,,,Inf,,,,,,,,,
sah,7,sehen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
vorsichtig,7,vorsichtig,ADV,,,,,,,,Pos,,,,,
ehrlich,7,ehrlich,ADV,,,,,,,,Pos,,,,,
hatten,7,haben,AUX,Plur,,,Fin,3,Ind,Past,,,,,,
rest,7,Rest,NOUN,Sing,Nom,Masc,,,,,,,,,,
arbeit,7,Arbeit,NOUN,Sing,Nom,Fem,,,,,,,,,,
deshalb,7,deshalb,ADV,,,,,,,,,,,,,
werdet,7,werden,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
licht,7,Licht,NOUN,Sing,Nom,Neut,,,,,,,,,,
sagten,7,sagen,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
willkommen,7,willkommen,ADV,,,,,,,,Pos,,,,,
drin,7,drin,ADV,,,,,,,,,,,,,
sogar,7,sogar,ADV,,,,,,,,,,,,,
stunde,7,Stunde,NOUN,Sing,Nom,Fem,,,,,,,,,,
jeder,7,jeder,PRON,Sing,Nom,Masc,,,,,,Ind,,,,
armee,7,Armee,NOUN,Sing,Nom,Fem,,,,,,,,,,
redest,7,Redest,PROPN,Sing,Nom,,,,,,,,,,,
oft,7,oft,ADV,,,,,,,,,,,,,
verstehen,7,verstehen,VERB,,,,Inf,,,,,,,,,
monster,7,Monster,NOUN,Plur,Nom,Masc,,,,,,,,,,
bord,7,Bord,NOUN,Sing,Nom,Masc,,,,,,,,,,
blut,7,Blut,NOUN,Sing,Nom,Neut,,,,,,,,,,
fest,7,fest,ADV,,,,,,,,,,,,,
nett,7,nett,ADV,,,,,,,,Pos,,,,,
solltest,7,solltest,X,,,,,,,,,,Yes,,,
kam,7,kommen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
unser,7,unser,DET,Sing,Nom,Masc,,,,,,Prs,,Yes,,
vater,7,Vater,NOUN,Sing,Nom,Masc,,,,,,,,,,
echt,7,echt,ADV,,,,,,,,Pos,,,,,
uncle,7,uncle,PROPN,Sing,Nom,,,,,,,,,,,
echte,7,echt,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
traurig,7,traurig,ADV,,,,,,,,Pos,,,,,
lieber,7,lieb,ADV,,,,,,,,Cmp,,,,,
sexy,7,sexy,NOUN,Sing,Nom,Masc,,,,,,,,,,
weh,7,weh,ADV,,,,,,,,,,,,,
freude,7,Freude,NOUN,Sing,Nom,Fem,,,,,,,,,,
welches,7,welcher,PRON,Sing,Acc,Neut,,,,,,Int,,,,
herz,7,Herz,NOUN,Sing,Nom,Neut,,,,,,,,,,
geburtstag,7,Geburtstag,NOUN,Sing,Nom,Masc,,,,,,,,,,
geschirr,7,Geschirr,PROPN,Sing,Nom,,,,,,,,,,,
smith,7,Smith,PROPN,Sing,Nom,Fem,,,,,,,,,,
john,7,John,PROPN,Sing,Nom,Masc,,,,,,,,,,
codewort,7,Codewort,PROPN,Sing,Nom,,,,,,,,,,,
basis,7,Basis,NOUN,Sing,Nom,Fem,,,,,,,,,,
headless,7,headless,PROPN,Sing,Nom,Neut,,,,,,,,,,
runter,6,Runter,ADV,,,,,,,,,,,,,
geschieht,6,geschehen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
geschafft,6,schaffen,VERB,,,,Part,,,,,,,,,
doctors,6,Doctors,PROPN,Sing,Gen,,,,,,,,,,,
everett,6,Everett,NOUN,Sing,Nom,Neut,,,,,,,,,,
nehme,6,nehmen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
vertraut,6,vertraut,ADV,,,,,,,,Pos,,,,,
voller,6,voller,ADP,,,,,,,,,,,,,
oben,6,oben,ADV,,,,,,,,,,,,,
trotzdem,6,trotzdem,ADV,,,,,,,,,,,,,
stelle,6,Stelle,NOUN,Sing,Nom,Fem,,,,,,,,,,
punkt,6,Punkt,NOUN,Sing,Nom,Masc,,,,,,,,,,
denkt,6,denken,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
vertraue,6,vertrauen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
nachdem,6,nachdem,SCONJ,,,,,,,,,,,,,
nixon,6,Nixon,PROPN,Sing,Nom,,,,,,,,,,,
anruf,6,Anruf,NOUN,Sing,Nom,Masc,,,,,,,,,,
weile,6,Weile,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
rein,6,rein,ADV,,,,,,,,Pos,,,,,
dank,6,dank,ADP,,,,,,,,,,,,,
erinnere,6,erinnern,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
vorbei,6,vorbei,ADV,,,,,,,,,,,,,
fern,6,fern,ADV,,,,,,,,Pos,,,,,
eben,6,eben,ADV,,,,,,,,,,,,,
hilfe,6,Hilfe,NOUN,Sing,Nom,Fem,,,,,,,,,,
kaum,6,kaum,ADV,,,,,,,,,,,,,
kamen,6,kommen,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
hoffe,6,hoffen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
leicht,6,leicht,ADV,,,,,,,,Pos,,,,,
schritt,6,Schritt,NOUN,Sing,Acc,Masc,,,,,,,,,,
gab,6,geben,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
wichtig,6,wichtig,ADV,,,,,,,,Pos,,,,,
schwanger,6,schwanger,ADV,,,,,,,,Pos,,,,,
bett,6,Bett,NOUN,Sing,Nom,Neut,,,,,,,,,,
etage,6,Etage,NOUN,Sing,Nom,Fem,,,,,,,,,,
menschheit,6,Menschheit,NOUN,Sing,Nom,Fem,,,,,,,,,,
sprechen,6,sprechen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
schlafen,6,schlafen,VERB,,,,Inf,,,,,,,,,
versuche,6,versuchen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
geschlossen,6,schließen,VERB,,,,Part,,,,,,,,,
verstanden,6,verstehen,VERB,,,,Part,,,,,,,,,
schicken,6,schicken,VERB,,,,Inf,,,,,,,,,
zeigen,6,zeigen,VERB,,,,Inf,,,,,,,,,
fliegen,6,fliegen,VERB,,,,Inf,,,,,,,,,
gesicht,6,Gesicht,NOUN,Sing,Nom,Neut,,,,,,,,,,
je,6,je,ADV,,,,,,,,,,,,,
tage,6,Tag,NOUN,Plur,Nom,Masc,,,,,,,,,,
fehler,6,Fehler,NOUN,Plur,Nom,Masc,,,,,,,,,,
kurz,6,kurz,ADV,,,,,,,,Pos,,,,,
gegen,6,gegen,ADP,,,,,,,,,,,,,
sicherheit,6,Sicherheit,NOUN,Sing,Nom,Fem,,,,,,,,,,
ruhig,6,ruhig,ADV,,,,,,,,Pos,,,,,
meines,6,mein,DET,Sing,Gen,Masc,,,,,,Prs,,Yes,,
verschwinden,6,verschwinden,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
getroffen,6,treffen,VERB,,,,Part,,,,,,,,,
fluch,6,Fluch,NOUN,Sing,Nom,Neut,,,,,,,,,,
dummkopf,6,dummkopf,NOUN,Sing,Nom,Fem,,,,,,,,,,
mutter,6,Mutter,NOUN,Sing,Nom,Fem,,,,,,,,,,
erstaunlich,6,erstaunlich,ADV,,,,,,,,Pos,,,,,
neu,6,neu,ADV,,,,,,,,Pos,,,,,
weit,6,weit,ADV,,,,,,,,Pos,,,,,
luft,6,Luft,NOUN,Sing,Nom,Fem,,,,,,,,,,
zeig,6,Zeig,NOUN,Sing,Nom,Masc,,,,,,,,,,
laufen,6,laufen,VERB,,,,Inf,,,,,,,,,
seinem,6,sein,DET,Sing,Dat,Neut,,,,,,Prs,,Yes,,
idris,6,Idris,PROPN,Sing,Nom,Masc,,,,,,,,,,
seele,6,Seele,NOUN,Sing,Nom,Fem,,,,,,,,,,
ood,6,ood,X,,,,,,,,,,,,,
tardise,6,tardise,ADV,,,,,,,,,,,,,
lauft,6,laufen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
alten,6,alt,ADJ,Plur,Nom,Neut,,,,,Pos,,,,,
karmesinrot,6,Karmesinrot,X,,,,,,,,,,Yes,,,
elf,6,elf,NUM,,,,,,,,,,,,,
fallen,6,fallen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
lucas,6,Lucas,PROPN,Sing,Nom,Fem,,,,,,,,,,
strom,6,Strom,NOUN,Sing,Nom,Masc,,,,,,,,,,
sturm,6,Sturm,NOUN,Sing,Nom,Masc,,,,,,,,,,
menschliche,6,menschlich,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
adam,6,Adam,PROPN,Sing,Nom,Masc,,,,,,,,,,
boy,6,boy,PROPN,Sing,Nom,Masc,,,,,,,,,,
lautet,5,lauten,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
vermutlich,5,vermutlich,ADV,,,,,,,,,,,,,
kenne,5,kennen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
gewesen,5,sein,AUX,,,,Part,,,,,,,,,
jim,5,Jim,PROPN,Sing,Nom,Masc,,,,,,,,,,
fish,5,Fish,X,,,,,,,,,,Yes,,,
richtigen,5,richtig,ADJ,Sing,Acc,Masc,,,,,Pos,,,,,
gleichen,5,gleich,VERB,,,,Inf,,,,,,,,,
wohin,5,wohin,ADV,,,,,,,,,Int,,,,
mond,5,Mond,NOUN,Sing,Nom,Masc,,,,,,,,,,
irgendjemand,5,irgendjemand,NOUN,Sing,Nom,Masc,,,,,,,,,,
bereits,5,bereits,ADV,,,,,,,,,,,,,
iii,5,iii,CCONJ,,,,,,,,,,,,,
bedeutung,5,Bedeutung,NOUN,Sing,Nom,Fem,,,,,,,,,,
tod,5,Tod,NOUN,Sing,Nom,Masc,,,,,,,,,,
wen,5,wen,PRON,Sing,Acc,Masc,,,,,,Int,,,,
nasa,5,Nasa,PROPN,Sing,Nom,Fem,,,,,,,,,,
spielt,5,spielen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
fbi,5,fbi,PROPN,Sing,Nom,Neut,,,,,,,,,,
wahl,5,Wahl,NOUN,Sing,Nom,Fem,,,,,,,,,,
ziemlich,5,ziemlich,ADV,,,,,,,,,,,,,
funktioniert,5,funktionieren,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
augenblick,5,Augenblick,NOUN,Sing,Nom,Masc,,,,,,,,,,
ruft,5,rufen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
fall,5,Fall,NOUN,Sing,Nom,Masc,,,,,,,,,,
stimme,5,Stimme,NOUN,Sing,Nom,Fem,,,,,,,,,,
erfahren,5,erfahren,VERB,,,,Inf,,,,,,,,,
clever,5,clever,ADV,,,,,,,,Pos,,,,,
klappe,5,Klappe,NOUN,Sing,Nom,Fem,,,,,,,,,,
team,5,Team,NOUN,Sing,Nom,Neut,,,,,,,,,,
wahrscheinlich,5,wahrscheinlich,ADV,,,,,,,,Pos,,,,,
folgen,5,folgen,VERB,,,,Inf,,,,,,,,,
besten,5,gut,ADV,,,,,,,,Sup,,,,,
falle,5,fallen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
gestohlen,5,stehlen,VERB,,,,Part,,,,,,,,,
seien,5,sein,AUX,Plur,,,Fin,3,Sub,Pres,,,,,,
spricht,5,sprechen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
tunnel,5,Tunnel,NOUN,Sing,Nom,Masc,,,,,,,,,,
bisschen,5,bisschen,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
langer,5,lang,ADV,,,,,,,,Cmp,,,,,
atmet,5,atmen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
drinnen,5,drinnen,ADV,,,,,,,,,,,,,
universums,5,universum,ADV,,,,,,,,,,,,,
haut,5,hauen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
nahe,5,nah,ADP,,,,,,,,,,,,,
bleibt,5,bleiben,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
guten,5,gut,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
sohn,5,Sohn,NOUN,Sing,Nom,Masc,,,,,,,,,,
worden,5,werden,AUX,,,,Part,,,,,,,,,
deren,5,der,PRON,Plur,Gen,,,,,,,Dem,,,,
entfernt,5,entfernt,ADV,,,,,,,,Pos,,,,,
anzug,5,Anzug,NOUN,Sing,Nom,Masc,,,,,,,,,,
gefragt,5,fragen,VERB,,,,Part,,,,,,,,,
mag,5,mögen,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
sorry,5,Sorry,PROPN,Sing,Nom,Masc,,,,,,,,,,
kleiner,5,klein,ADV,,,,,,,,Cmp,,,,,
alter,5,alt,ADJ,Sing,Nom,Masc,,,,,Pos,,,,,
allen,5,aller,PRON,Plur,Dat,,,,,,,Ind,,,,
geh,5,geh,PROPN,Sing,Nom,Fem,,,,,,,,,,
jahrhundert,5,Jahrhundert,NOUN,Sing,Acc,Neut,,,,,,,,,,
fass,5,Fass,PROPN,Sing,Nom,Masc,,,,,,,,,,
crew,5,Crew,PROPN,Sing,Nom,,,,,,,,,,,
toll,5,toll,ADV,,,,,,,,Pos,,,,,
wachsen,5,wachsen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
idee,5,Idee,NOUN,Sing,Nom,Fem,,,,,,,,,,
verloren,5,verlieren,VERB,,,,Part,,,,,,,,,
neues,5,neu,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
hoffnung,5,Hoffnung,NOUN,Sing,Nom,Fem,,,,,,,,,,
aufhalten,5,aufhalten,VERB,,,,Inf,,,,,,,,,
hinein,5,hinein,ADV,,,,,,,,,,,,,
unserem,5,unser,DET,Sing,Dat,Masc,,,,,,Prs,,Yes,,
ring,5,Ring,NOUN,Sing,Nom,Masc,,,,,,,,,,
erlaubnis,5,Erlaubnis,NOUN,Sing,Nom,Neut,,,,,,,,,,
geruch,5,geruch,ADV,,,,,,,,Pos,,,,,
staub,5,Staub,NOUN,Sing,Nom,Masc,,,,,,,,,,
gerne,5,gerne,ADV,,,,,,,,,,,,,
jacke,5,jacken,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
schuld,5,schuld,ADV,,,,,,,,Pos,,,,,
direkt,5,direkt,ADV,,,,,,,,Pos,,,,,
konntest,5,Konntest,ADV,,,,,,,,Pos,,,,,
verstand,5,verstehen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
schilde,5,Schild,NOUN,Plur,Nom,Masc,,,,,,,,,,
kontrollraum,5,kontrollraum,ADV,,,,,,,,,,,,,
fand,5,finden,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
verbunden,5,verbinden,VERB,,,,Part,,,,,,,,,
erste,5,erster,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
dicken,5,dicken,VERB,,,,Inf,,,,,,,,,
regeln,5,regeln,VERB,,,,Inf,,,,,,,,,
st,5,st,X,,,,,,,,,,,,,
gamma,5,Gamma,NOUN,Sing,Nom,Neut,,,,,,,,,,
befehl,5,Befehl,NOUN,Sing,Nom,Masc,,,,,,,,,,
dad,5,dad,PROPN,Sing,Nom,Neut,,,,,,,,,,
tapfer,5,tapf,ADV,,,,,,,,Cmp,,,,,
monks,5,monks,X,,,,,,,,,,Yes,,,
demons,5,demons,PROPN,,,,,,,,,,,,,
manton,5,Manton,PROPN,Sing,Nom,Masc,,,,,,,,,,
kinderbett,5,Kinderbett,ADV,,,,,,,,,,,,,
wand,4,Wand,NOUN,Sing,Nom,Fem,,,,,,,,,,
albern,4,albern,ADV,,,,,,,,Pos,,,,,
siehst,4,siehst,ADV,,,,,,,,,,,,,
vergangenheit,4,Vergangenheit,NOUN,Sing,Nom,Fem,,,,,,,,,,
verbindung,4,Verbindung,NOUN,Sing,Nom,Fem,,,,,,,,,,
nirgendwo,4,nirgendwo,ADV,,,,,,,,,,,,,
seinen,4,sein,DET,Sing,Acc,Masc,,,,,,Prs,,Yes,,
welchen,4,welcher,DET,Plur,Dat,Masc,,,,,,Int,,,,
zelle,4,Zelle,NOUN,Sing,Nom,Fem,,,,,,,,,,
vier,4,vier,NUM,,,,,,,,,,,,,
eingeladen,4,einladen,VERB,,,,Part,,,,,,,,,
meinte,4,meinen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
entschuldigen,4,entschuldigen,VERB,,,,Inf,,,,,,,,,
wusste,4,wusste,ADJ,Sing,Nom,Fem,,,,,Sup,,,,,
gleiche,4,gleich,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
jedem,4,jeder,PRON,Sing,Dat,Masc,,,,,,Ind,,,,
sauer,4,sauer,ADV,,,,,,,,Pos,,,,,
eigene,4,eigen,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
stil,4,Stil,NOUN,Sing,Nom,Masc,,,,,,,,,,
manchmal,4,manchmal,ADV,,,,,,,,,,,,,
linie,4,Linie,NOUN,Sing,Nom,Fem,,,,,,,,,,
gelandet,4,landen,VERB,,,,Part,,,,,,,,,
brauche,4,brauchen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
anrufen,4,anrufen,VERB,,,,Inf,,,,,,,,,
