Question,Answer
eueren,"Притяжательные Винительный, муж. род, ihr"
euere,"Притяжательные Винительный, жен. род, ihr"
euer,"Притяжательные Винительный, ср. род, ihr"
euere,"Притяжательные Винительный, мн. число, ihr"
euerem,"Притяжательные Дательный, муж. род, ihr"
euerer,"Притяжательные Дательный, жен. род, ihr"
euerem,"Притяжательные Дательный, ср. род, ihr"
eueren,"Притяжательные Дательный, мн. число, ihr"
eueres,"Притяжательные Родительный, муж. род, ihr"
euerer,"Притяжательные Родительный, жен. род, ihr"
eueres,"Притяжательные Родительный, ср. род, ihr"
euerer,"Притяжательные Родительный, мн. число, ihr"

ihr,"Притяжательные Именительный, муж. род, sie_pl"
ihre,"Притяжательные Именительный, жен. род, sie_pl"
ihr,"Притяжательные Именительный, ср. род, sie_pl"
ihre,"Притяжательные Именительный, мн. число, sie_pl"
ihren,"Притяжательные Винительный, муж. род, sie_pl"
ihre,"Притяжательные Винительный, жен. род, sie_pl"
ihr,"Притяжательные Винительный, ср. род, sie_pl"
ihre,"Притяжательные Винительный, мн. число, sie_pl"
ihrem,"Притяжательные Дательный, муж. род, sie_pl"
ihrer,"Притяжательные Дательный, жен. род, sie_pl"
ihrem,"Притяжательные Дательный, ср. род, sie_pl"
ihren,"Притяжательные Дательный, мн. число, sie_pl"
ihres,"Притяжательные Родительный, муж. род, sie_pl"
ihrer,"Притяжательные Родительный, жен. род, sie_pl"
ihres,"Притяжательные Родительный, ср. род, sie_pl"
ihrer,"Притяжательные Родительный, мн. число, sie_pl"

Ihr,"Притяжательные Именительный, муж. род, Sie"
Ihre,"Притяжательные Именительный, жен. род, Sie"
Ihr,"Притяжательные Именительный, ср. род, Sie"
Ihre,"Притяжательные Именительный, мн. число, Sie"
Ihren,"Притяжательные Винительный, муж. род, Sie"
Ihre,"Притяжательные Винительный, жен. род, Sie"
Ihr,"Притяжательные Винительный, ср. род, Sie"
Ihre,"Притяжательные Винительный, мн. число, Sie"
Ihrem,"Притяжательные Дательный, муж. род, Sie"
Ihrer,"Притяжательные Дательный, жен. род, Sie"
Ihrem,"Притяжательные Дательный, ср. род, Sie"
Ihren,"Притяжательные Дательный, мн. число, Sie"
Ihres,"Притяжательные Родительный, муж. род, Sie"
Ihrer,"Притяжательные Родительный, жен. род, Sie"
Ihres,"Притяжательные Родительный, ср. род, Sie"
Ihrer,"Притяжательные Родительный, мн. число, Sie"
