De,Ru
verpassen,"пропустить, упустить"
die Unterkunft,место для ночлега
auspacken,распаковывать чемоданы
der Strand,(морской) берег / пляж
die Jugendherberge,хостел для молодёжи
verreisen,уезжать
der Rundgang,"прогулка, экскурсия"
die Fundsache,"найденная вещь, которую кто-то потерял"
der Umzug,переезд
umziehen,переезжать
einziehen,заезжать в квартиру/дом
das Stockwerk/der Stock/die Etage,этаж
das Erdgeschoss,первый этаж
das Wohnzimmer,гостиная
das Schlafzimmer,спальня
der Keller,подвал
die Heizung,отопление
das Fenster,окно
die Lampe,лампа
der Stuhl,стул
die Tür,дверь
renovieren,делать ремонт
der Nachbar,сосед
der Haushalt,домашнее хозяйство
das Mittel,средство
die Reinigung,"уборка, чистка"
putzen,"чистить, убирать"
aufräumen,убираться
die Seife,мыло
die Wäsche,бельё
das Handtuch,полотенце
der Schirm,"ширма, заграждение"
der Kalender,календарь
das Ding,вещь / предмет
die Sache,"вещь, дело"
das Geschirr,посуда
der Löffel,ложка
das Messer,нож
die Gabel,вилка
die Tasse,чашка
der Teller,тарелка
der Topf,"кастрюля, горшок"
die Schere,ножницы
der Müll,мусор
schneiden,резать
sich schneiden,порезаться
backen,печь (испекать)
braten,жарить
das Mittagessen,обед
"das Rezept, -e",рецепт
"das Gericht, -e","суд, блюдо"
"die Portion, -en",порция
"das Stück, -e",штука
"der Rest, -e","остаток, сдача"
probieren,пробовать
frisch,свежий
süß,сладкий
sauer,кислый
scharf,острый
"der Supermarkt, -¨e",супермаркет
"das Mineralwasser, -¨",минеральная вода
das Rind,говядина
"die Wurst, -¨e",колбаса
"der Käse, —",сыр
"die Bohne, -n",бобы
"die Orange, -n",апельсин
"die Zitrone, -n",лимон
"der Hamburger, —",гамбургер
die Nudeln,лапша
"die Pizza, -s",пицца
"die Süßigkeit, -en",сладость
"der Zucker, —",сахар
das Eis,"лёд, мороженое"
"die Schokolade, -n",шоколад
"die Torte, -n",торт
"die Suppe, -n",суп
sich setzen,садиться
setzen,сажать
fallen,падать
hängen,"висеть, вешать"
klappen,удаваться
passen,подходить (соответствовать)
passieren,происходить
stattfinden,состояться
sich beeilen,поторапливаться
ausgehen,выходить в свет
bestehen,состоять
lassen,оставлять / позволять
stören,"мешать, беспокоить"
abschließen,заключать
aufmachen,открывать (физ.)
zumachen,закрывать (физ.)
aufpassen,следить
beenden,заканчивать
leihen,давать в аренду
nennen,называть
teilnehmen,принимать участие
unternehmen,предпринимать что-либо
untersuchen,исследовать
verlieren,терять
versuchen,"пробовать, пытаться"
wählen,выбирать
wecken,будить
wehtun,делать больно
weitermachen,продолжать
austragen,разносить
bauen,строить
herstellen,производить
liefern,доставлять
organisieren,организовывать
schaffen,справляться / создавать
"die Mode, -n","мода, одежда"
tragen,носить
"das T-Shirt, -s",футболка
"die Bluse, -n",блузка
"das Hemd, -e",рубашка
"das Kleid, -er",платье
"der Pullover, —",свитер
"die Hose, -n",брюки
"die Jeans, —",джинсы
"der Rock, -¨e",юбка
"der Anzug, -¨e",костюм
"der Mantel, -¨",пальто
"der Stiefel, —",сапоги
"die Mütze, -n",шапка
"der Ring, -e",кольцо
"die Brille, -n",очки
blond,светловолосый
dick,толстый
dünn,худой
fett,жирный
fit sein,быть в форме
sportlich,спортивный
stark,сильный
hässlich,уродливый
sympathisch,симпатичный
arm,бедный
reich,богатый
blöd,тупой
dumm,глупый
intelligent,интеллектуальный
klug,умный
faul,ленивый
fleißig,"прилежный, старательный"
freundlich,дружелюбный
froh,радостный
nett,милый
nervös,нервный
traurig,грустный
sauber,чистый
schmutzig,грязный
hart,"жесткий, твёрдый"
weich,мягкий
leer,пустой
voll,полный
rund,круглый
bunt,цветной
tief,глубокий
wach,"бодрствующий, неспящий"
aktiv,активный
offen,открытый
echt,"настоящий, неподдельный"
eng,узкий
ganz,целый
aktuell,актуальный
modern,современный
typisch,типичный
deutlich,чёткий
direkt,"прямой, прямолинейный"
dringend,"неотложный, срочный"
gefährlich,опасный
schädlich,вредный
schlimm,ужасно
schwierig,"тяжёлый, трудный"
streng,строгий
schwach,слабый
notwendig,необходимый
nützlich,полезный
praktisch,практичный
plötzlich,внезапный
privat,"личный, приватный"
total,"полностью"
unbedingt,безусловный
vorsichtig,осторожный
wahr,"истинный, правдивый"
verschieden,разный
sich erinnern,вспоминать
sich ärgern,злиться
denken,думать
hoffen,надеяться
weinen,плакать
leidtun,вызывать жалость
träumen,"мечтать, видеть сны"
"der Traum, -¨e",мечта
bequem,удобно
romantisch,романтично
aufregend,волнительно
spannend,увлекательно
langweilig,скучно
witzig,"смешно, шутливо"
fantastisch,фантастически
komisch,"забавно, странно"
furchtbar,"ужасающе, пугающе"
schrecklich,"ужасно, страшно"
"der Stress, -e",стресс
stressig,стрессово
"die Ahnung, -en",предположение
"die Angst, -¨e",страх
Lieblings-,любимый
"die Lust, -¨e",желание
"die Person, -en",персона
"der Kontakt, -e",контакт
"der Rentner, —",пенсионер
"der Besuch, -e","визит, посещение"
"die Feier, -n",празднование
"das Fest, -e",праздник
"der Wunsch, -¨e",пожелание
wünschen,желать
schenken,дарить
dabei sein,"быть, присутствовать при чём-либо"
verabredet sein,договориться встретиться
"das Paar, -e",пара
"der Ehepartner, —",супруг
sich verlieben,влюбляться
chatten,чатиться
rufen,"кричать, звать"
ansehen,"смотреть, поглядеть"
zuhören,внимательно слушать кого-либо
sich unterhalten,"общаться, беседовать"
reden,разговаривать / беседовать
diskutieren,дискутировать
mitspielen,"подыгрывать, играть с кем-либо вместе"
schimpfen,"обзывать, ругать"
sich streiten,ругаться
lügen,лгать
"die Lüge, -n",ложь
"das Interesse, -n",интерес
sich interessieren,интересоваться
interessant,интересно
der Spaß,веселье / удовольствие
"die Musik, -en",музыка
das Radio,радио
"die Sendung, -en","передача по тв, радио"
singen,петь
"die Gitarre, -n",гитара
"das Klavier, -e",пианино / фортепиано
"die Zeitschrift, -en",журнал
"das Rätsel, —",загадка
"der Krimi, -s",детектив
"der Comic, -s",комикс
"die Kamera, -s",камера
"der Fotoapparat, -e",фотоаппарат
fotografieren,фотографировать
zeichnen,"рисовать [карандашом], чертить"
malen,рисовать
basteln,мастерить
sammeln,"собирать, коллекционировать"
spazieren gehen,идти гулять
"der Spaziergang, -¨e",прогулка
"das Zelt, -e",палатка
"das Spiel, -e",игра
"der Witz, -e",шутка
"der Zirkus, -se",цирк
"der Club, -s",клуб
"die Kultur, -en",культура
"die Kunst, -¨e",искусство
"die Veranstaltung, -en",представление
"die Ausstellung, -en",выставка
"das Festival, -s",фестиваль
"das Theater, —",театр
"der Titel, —","название, заголовок"
"das Plakat, -e",плакат
"das Poster, —",постер
beliebt,пользующийся популярностью
berühmt,знаменитый
"der Fan, -s",фанат
"der Star, -s",звезда
"die Tour, -en",тур
"das Konzert, -e",концерт
"das Krankenhaus, -häuser",больница
"die Krankenkasse, -n","медицинская страховка, больничная касса в германии"
"die Krankheit, -en",болезнь
die Gesundheit,здоровье
gesund,здоровый
schwanger,беременна
erkältet sein,быть простуженным
husten,кашлять
"die Grippe, -n",грипп
"der Schmerz, -en",боль
"die Sprechstunde, -n",консультация врача
"die Apotheke, -n",аптека
"das Medikament, -e",медикамент
"die Tablette, -n",таблетка
sich ausruhen,отдыхать
sterben,умирать
"das Gesicht, -er",лицо
"das Ohr, -en",ухо
"der Zahn, -¨e",зуб
"der Hals, -¨e","шея, горло"
"der Körper, —",тело
"der Rücken, —",спина
"der Magen, —",желудок
"der Fuß̈, -¨e",стопа
"die Creme, -s",крем
die Kosmetik,косметика
"das Parfüm, -s",парфюм
trainieren,тренироваться
"das Training, -s",тренировка
"die Mannschaft, -en",команда
"der Sportplatz, -¨e",спортплощадка
joggen,бегать трусцой
reiten,ездить верхом
"der Ball, -¨e",мяч
der Basketball,баскетбол
der Volleyball,волейбол
das Tennis,теннис
"der Ski, -er",лыжи
sich verletzen,получить травму
planen,планировать
prüfen,проверять
rechnen,считать
austauschen,обмениваться
vergleichen,сравнивать
sich merken,запоминать
notieren,записывать
teilen,"делить, делиться"
vergessen,забывать
sich informieren,узнать о чём-либо
berichten,докладывать
beantworten,отвечать
beschreiben,описывать
"die Nachricht, -en",сообщение
"der Artikel, —",статья
"die Geschichte, -n",история
"die Notiz, -en",заметка
"der Zettel, —",записка
meinen,"полагать, иметь мнение"
"die Meinung, -en",мнение
"die Idee, -n",идея
"das Gegenteil, -e","противоположность, антоним"
"der Unterschied, -e","разница, отличие"
pro,голос «за» / на единицу
contra,«против»
begründen,обосновывать
dafür sein,быть «за»
dagegen sein,быть «против»
einverstanden sein,быть согласным
egal,"всё равно, безразлично"
wegen,из-за
"die Ausbildung, -en","среднее-профессиональное образование"
"die Universität, -en",университет
"das Stipendium, die Stipendien",стипендия
"das Fach, -¨er",учебный предмет
"die Tafel, -n",доска
"das Heft, -e",тетрадь
"der Stift, -e",карандаш
"die Kenntnisse, -n",знания
üben,делать упражнения
schriftlich,письменно
übersetzen,переводить
"die Übersetzung, -en",перевод
aussprechen,"произносить, говорить"
"das Quiz, —","опросник, квиз"
"die Note, -n",оценка
"die Bibliothek, -en",библиотека
"die Cafeteria, die Cafeterien",кафетерий
die Ferien,каникулы
"das Zeugnis, -se","свидетельство, диплом"
kündigen,увольняться
freiwillig,по желанию
"die Bewerbung, -en",резюме
sich bewerben,отправлять резюме
"die Erfahrung, -en",опыт
"das Interview, -s","собеседование, интервью"
"der Wettbewerb, -e","конкурс, конкуренция"
"der Vertrag, -¨e",договор
"der Mitarbeiter, —","работник, сотрудник"
"der Babysitter, —",няня
"die Baustelle, -n",стройка
"das Instrument, -e",инструмент
"das Büro, -s",офис
"das Team, -s",команда
"das Produkt, -e",продукт
"das Projekt, -e",проект
"die Qualität, -en",качество
"der Service, -s",сервис
"der Tipp, -s",совет
"der Workshop, -s","мастерская, воркшоп"
"der Feierabend, -e",конец рабочего дня
"der Feiertag, -e","выходной, праздник"
kostenlos,бесплатно
preiswert,недорого
sparen,экономить
ausgeben,тратить
"der Kredit, -e",кредит
"das Taschengeld, -er",карманные деньги
"die Geldbörse, -n",кошелёк
"die Ermäßigung, -en",скидка
"das Paket, -e",посылка
"die Postkarte, -n",открытка
"die Situation, -en",ситуация
sich kümmern,заботиться
sich bedanken,благодарить
sich beschweren,жаловаться
beraten,консультировать
raten,"советовать, угадывать"
vereinbaren,"согласовать [время], договориться"
verschieben,передвинуть
ändern,изменить
bestätigen,подтвердить
vorbereiten,подготовить
wechseln,"сменить, заменить"
kontrollieren,контролировать / проверять
fertig sein,быть готовым
gültig sein,быть действительным
eintragen,"записать, внести"
"die Erlaubnis, -se",разрешение
erlaubt sein,быть разрешённым
verbieten,запретить
"der Apparat, -e",аппарат
"das Gerät, -e","прибор, инструмент"
"der Fernseher, —",телевизор
"der Laptop, -s",ноутбук
"das Tablet, -s",планшет
"das Mobiltelefon, -e",мобильный телефон
"das E-Book, -s",электронная книга
"der Blog, -s",блог
"die Website, -s",сайт в интернете
"die Webseite, -n",страница в интернете
"die Homepage, -s",домашняя страница
"das Programm, -e",программа
"die Mailbox, -en",электронный почтовый ящик
"die E-Mail, -s","электронная почта, письмо"
"das Passwort, -¨er",пароль
"der Link, -s",ссылка
"die Datei, -en",файл
online,онлайн
surfen,серфить в интернете
herunterladen,скачивать
speichern,сохранять
"das Mal, -e",раз
"die Menge, -n",количество
"die Zahl, -en",число
wie viele,сколько
ein paar,несколько
wenige,"некоторые, мало кто/что"
wenigstens,"как минимум, по крайней мере"
meistens,"в большинстве случаев, в основном"
mindestens,"минимум, по меньшей мере"
selbst,сам / самостоятельно
jeder,каждый
jemand,кто-то
man,некто(безл)
manche,некоторые
niemand,никто
welche,"которые, некоторые"
etwas,что-нибудь / немного
kein,никакой / не
gern,"охотно, с удовольствием"
genau,точно
sicher,наверняка / безопасно
natürlich,конечно / естественно
wahrscheinlich,возможно
hoffentlich,надеюсь
wirklich,действительно
toll,классно / круто
schade,жаль
fast,почти
endlich,наконец-то!
genug,достаточно
eigentlich,вообще-то / собственно говоря
sogar,даже
sonst,в противном случае
außerdem,кроме того
deshalb,поэтому
doch,"всё-таки да(опровержение отрицания)"
anders,иначе
die Band,музыкальная группа
das Band,лента
der Band,том
das Gehalt,зарплата
der Gehalt,содержимое
der See,озеро
dass,что (союз)
weil,потому что
wenn,если / когда
als,по сравнению с
auf jeden Fall,в любом случае
auf keinen Fall,ни в коем случае
der Bescheid,решение (по запросу)
recht haben,быть правым
der Vorschlag,предложение (идея)
